01. State  0 | Arrival   | 0 Arrivals
02. State  1 | Departure | 0 Arrivals
03. State  0 | Arrival   | 1 Arrivals
04. State  1 | Arrival   | 0 Arrivals
05. State  2 | Departure | 0 Arrivals
06. State  1 | Departure | 1 Arrivals
07. State  0 | Arrival   | 2 Arrivals
08. State  1 | Arrival   | 1 Arrivals
09. State  2 | Departure | 0 Arrivals
10. State  1 | Arrival   | 2 Arrivals
11. State  2 | Departure | 0 Arrivals
12. State  1 | Arrival   | 3 Arrivals
13. State  2 | Arrival   | 0 Arrivals
14. State  3 | Arrival   | 0 Arrivals
15. State  4 | Arrival   | 0 Arrivals
16. State  5 | Arrival   | 0 Arrivals
17. State  6 | Arrival   | 0 Arrivals
18. State  7 | Arrival   | 0 Arrivals
19. State  8 | Arrival   | 0 Arrivals
20. State  9 | Departure | 0 Arrivals
21. State  8 | Departure | 1 Arrivals
22. State  7 | Arrival   | 1 Arrivals
23. State  8 | Departure | 1 Arrivals
24. State  7 | Arrival   | 2 Arrivals
25. State  8 | Departure | 1 Arrivals
26. State  7 | Arrival   | 3 Arrivals
27. State  8 | Arrival   | 1 Arrivals
28. State  9 | Arrival   | 0 Arrivals
29. State 10 | Arrival   | 0 Arrivals
30. State 10 | Arrival   | 1 Arrivals
